run_at_utc,snapshot_label,sport,games,rows,error,quota_used,quota_remaining
2026-07-08T03:48:42Z,close,NHL,0,0,,171,329
2026-07-08T03:48:42Z,close,BASKETBALL_WNBA,6,22,,174,326
2026-07-08T04:30:53Z,close,NHL,0,0,,174,326
2026-07-08T04:30:53Z,close,BASKETBALL_WNBA,5,18,,177,323
2026-07-08T05:31:40Z,close,NHL,0,0,,177,323
2026-07-08T05:31:40Z,close,BASKETBALL_WNBA,5,18,,180,320
2026-07-08T06:08:40Z,close,NHL,0,0,,180,320
2026-07-08T06:08:40Z,close,BASKETBALL_WNBA,5,18,,183,317
2026-07-08T06:31:36Z,open,NHL,0,0,,183,317
2026-07-08T06:31:36Z,open,BASKETBALL_WNBA,5,18,,186,314
2026-07-08T06:37:54Z,close,NHL,0,0,,186,314
2026-07-08T06:37:54Z,close,BASKETBALL_WNBA,5,18,,189,311
2026-07-08T16:43:29Z,morning,NHL,0,0,,189,311
2026-07-08T16:43:29Z,morning,BASKETBALL_WNBA,5,20,,192,308
2026-07-09T00:20:12Z,close,NHL,0,0,,192,308
2026-07-09T00:20:12Z,close,BASKETBALL_WNBA,5,20,,195,305
2026-07-09T04:16:02Z,close,NHL,0,0,,195,305
2026-07-09T04:16:02Z,close,BASKETBALL_WNBA,6,16,,198,302
2026-07-09T05:04:46Z,close,NHL,0,0,,198,302
2026-07-09T05:04:46Z,close,BASKETBALL_WNBA,6,16,,201,299
2026-07-09T06:16:03Z,close,NHL,0,0,,201,299
2026-07-09T06:16:03Z,close,BASKETBALL_WNBA,6,16,,204,296
2026-07-09T07:01:29Z,close,NHL,0,0,,204,296
2026-07-09T07:01:29Z,close,BASKETBALL_WNBA,6,16,,207,293
2026-07-09T07:50:04Z,open,NHL,0,0,,207,293
2026-07-09T07:50:04Z,open,BASKETBALL_WNBA,6,17,,210,290
2026-07-09T08:01:44Z,close,NHL,0,0,,210,290
2026-07-09T08:01:44Z,close,BASKETBALL_WNBA,6,17,,213,287
2026-07-09T17:23:32Z,morning,NHL,0,0,,213,287
2026-07-09T17:23:32Z,morning,BASKETBALL_WNBA,6,24,,216,284
2026-07-10T00:18:56Z,close,NHL,0,0,,216,284
2026-07-10T00:18:56Z,close,BASKETBALL_WNBA,6,24,,219,281
2026-07-10T04:27:01Z,close,NHL,0,0,,219,281
2026-07-10T04:27:01Z,close,BASKETBALL_WNBA,5,17,,222,278
2026-07-10T05:06:25Z,close,NHL,0,0,,222,278
2026-07-10T05:06:25Z,close,BASKETBALL_WNBA,4,14,,225,275
2026-07-10T06:15:30Z,close,NHL,0,0,,225,275
2026-07-10T06:15:30Z,close,BASKETBALL_WNBA,6,16,,228,272
2026-07-10T06:57:05Z,close,NHL,0,0,,228,272
2026-07-10T06:57:05Z,close,BASKETBALL_WNBA,6,16,,231,269
2026-07-10T07:39:18Z,open,NHL,0,0,,231,269
2026-07-10T07:39:18Z,open,BASKETBALL_WNBA,6,17,,234,266
2026-07-10T07:51:09Z,close,NHL,0,0,,234,266
2026-07-10T07:51:09Z,close,BASKETBALL_WNBA,6,17,,237,263
2026-07-10T17:00:50Z,morning,NHL,0,0,,237,263
2026-07-10T17:00:50Z,morning,BASKETBALL_WNBA,6,21,,240,260
2026-07-11T00:09:38Z,close,NHL,0,0,,240,260
2026-07-11T00:09:38Z,close,BASKETBALL_WNBA,6,24,,243,257
2026-07-11T03:45:47Z,close,NHL,0,0,,243,257
2026-07-11T03:45:47Z,close,BASKETBALL_WNBA,4,16,,246,254
2026-07-11T04:26:31Z,close,NHL,0,0,,246,254
2026-07-11T04:26:31Z,close,BASKETBALL_WNBA,3,12,,249,251
2026-07-11T05:22:35Z,close,NHL,0,0,,249,251
