date,sport,game_id,commence_time,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2024-03-03,NHL,04cbf5b0a1bf30505a39fe0175d2d2b5,2024-03-03T18:00:00Z,Washington Capitals,Arizona Coyotes,betmgm,-135,115,-1.5,170,1.5,-210,6.0,-105,-115
2024-03-03,NHL,04cbf5b0a1bf30505a39fe0175d2d2b5,2024-03-03T18:00:00Z,Washington Capitals,Arizona Coyotes,caesars,-140,118,-1.5,175,1.5,-210,6.0,-105,-115
2024-03-03,NHL,4fe2e48ae25d9e4d7c78cbdce61c993b,2024-03-03T20:30:00Z,Los Angeles Kings,New Jersey Devils,caesars,-130,110,-1.5,185,1.5,-225,6.5,-105,-115
2024-03-03,NHL,4fe2e48ae25d9e4d7c78cbdce61c993b,2024-03-03T20:30:00Z,Los Angeles Kings,New Jersey Devils,betmgm,-130,110,-1.5,180,1.5,-225,6.5,-105,-115
2024-03-03,NHL,74a29f155c841da927f1fcad4fe038d8,2024-03-04T00:00:00Z,Buffalo Sabres,Winnipeg Jets,betmgm,100,-120,1.5,-250,-1.5,195,6.0,-105,-115
2024-03-03,NHL,74a29f155c841da927f1fcad4fe038d8,2024-03-04T00:00:00Z,Buffalo Sabres,Winnipeg Jets,caesars,100,-120,1.5,-240,-1.5,196,6.0,-105,-115
2024-03-03,NHL,8250bb4a23aec7cb757de87dd1966c18,2024-03-04T00:00:00Z,Minnesota Wild,San Jose Sharks,betmgm,-350,260,-1.5,-135,1.5,110,6.0,-120,100
2024-03-03,NHL,8250bb4a23aec7cb757de87dd1966c18,2024-03-04T00:00:00Z,Minnesota Wild,San Jose Sharks,caesars,-350,275,-1.5,-135,1.5,115,6.0,-120,100
2024-03-03,NHL,0d6e3b57d8a947ab7411b894e8f395b7,2024-03-04T01:00:00Z,Anaheim Ducks,Vancouver Canucks,caesars,222,-278,1.5,-110,-1.5,-110,6.5,-105,-115
2024-03-03,NHL,0d6e3b57d8a947ab7411b894e8f395b7,2024-03-04T01:00:00Z,Anaheim Ducks,Vancouver Canucks,betmgm,220,-275,1.5,-110,-1.5,-110,6.5,-105,-115
2024-03-03,NHL,e4e38320dbd48a2764743ac13f838a37,2024-03-04T02:00:00Z,Edmonton Oilers,Pittsburgh Penguins,betmgm,-190,155,-1.5,125,1.5,-150,6.5,-105,-115
2024-03-03,NHL,e4e38320dbd48a2764743ac13f838a37,2024-03-04T02:00:00Z,Edmonton Oilers,Pittsburgh Penguins,caesars,-205,170,-1.5,130,1.5,-155,6.5,-105,-115
2024-03-03,NHL,c64ed019f44164d729b99eac1bbaa83f,2024-03-05T00:00:00Z,Columbus Blue Jackets,Vegas Golden Knights,betmgm,150,-185,1.5,-155,-1.5,125,6.5,100,-120
