date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-03-08,NHL,8ecf2285e39ce306c4b4867c986b9631,2026-03-08T03:10:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,San Jose Sharks,New York Islanders,betmgm,105,-135,1.5,-800,-1.5,450,3.5,100,-135
2026-03-08,NHL,dda6969bf62459c18c047cfd9d804eb4,2026-03-08T03:10:21Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Seattle Kraken,Ottawa Senators,betmgm,3300,-10000,3.5,-160,-3.5,120,8.5,-140,105
2026-03-08,NHL,466393dc569339fdc4d4a19b2a718d5c,2026-03-08T03:13:25Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Calgary Flames,Carolina Hurricanes,betmgm,-10000,1450,-3.5,195,3.5,-275,6.5,-160,120
2026-03-08,NHL,8077ef9c0798bec26eb6845df96739d9,2026-03-08T18:10:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Colorado Avalanche,Minnesota Wild,betmgm,-175,145,-1.5,135,1.5,-160,6.0,-130,105
2026-03-08,NHL,336e0ed6dae30b0a6e4587a4a64e6adb,2026-03-08T20:40:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Pittsburgh Penguins,Boston Bruins,betmgm,-125,105,-1.5,190,1.5,-235,6.0,-130,105
2026-03-08,NHL,5d28a66fa3c65c31a06893d2beca2819,2026-03-08T22:10:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Buffalo Sabres,Tampa Bay Lightning,betmgm,-102,-118,1.5,-235,-1.5,195,6.5,-105,-115
2026-03-08,NHL,59b851ed95389c719d12b7ff5e0a25d8,2026-03-08T22:10:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Dallas Stars,Chicago Blackhawks,betmgm,-275,220,-1.5,-105,1.5,-115,6.0,-110,-110
2026-03-08,NHL,a76475f4f0361a7b171974069c026e66,2026-03-08T23:10:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,New Jersey Devils,Detroit Red Wings,betmgm,-110,-110,-1.5,220,1.5,-275,5.5,-120,100
2026-03-08,NHL,df9f198484ecb37a60dc5cb18e5a434d,2026-03-09T01:10:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Anaheim Ducks,St Louis Blues,betmgm,-170,140,-1.5,140,1.5,-170,6.0,-130,105
2026-03-08,NHL,a396d2bcc52b4ef3ccba5c801939533f,2026-03-09T01:40:00Z,2026-03-08T05:11:29Z,,"Sun, 08 Mar 2026 05:11:29 GMT",2026-03-08T05:11:10Z,Vegas Golden Knights,Edmonton Oilers,betmgm,-115,-105,1.5,-275,-1.5,220,6.5,-135,110
