date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-06-03,NHL,64f4fd5f7454c1585d209d91e36902eb,2026-06-03T00:24:12Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:48:03Z,Carolina Hurricanes,Vegas Golden Knights,fanduel,-156,122,-1.5,225,1.5,-310,8.5,-215,162
2026-06-03,NHL,64f4fd5f7454c1585d209d91e36902eb,2026-06-03T00:24:12Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:26Z,Carolina Hurricanes,Vegas Golden Knights,betmgm,-145,115,-1.5,270,1.5,-400,8.5,-200,145
2026-06-03,NHL,64f4fd5f7454c1585d209d91e36902eb,2026-06-03T00:24:12Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:48:02Z,Carolina Hurricanes,Vegas Golden Knights,draftkings,-145,114,-1.5,260,1.5,-360,8.5,-180,140
2026-06-03,WNBA,759f97a0437a8ff763e5f24897639896,2026-06-02T23:32:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:40:26Z,Washington Mystics,Chicago Sky,fanduel,,,-16.5,-132,16.5,100,161.5,-114,-114
2026-06-03,WNBA,759f97a0437a8ff763e5f24897639896,2026-06-02T23:32:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:40:26Z,Washington Mystics,Chicago Sky,draftkings,,,-16.5,165,16.5,-215,,,
2026-06-03,WNBA,759f97a0437a8ff763e5f24897639896,2026-06-02T23:32:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:40:08Z,Washington Mystics,Chicago Sky,betmgm,,,-15.5,-220,15.5,170,160.5,-105,-120
2026-06-03,WNBA,759f97a0437a8ff763e5f24897639896,2026-06-02T23:32:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:36:28Z,Washington Mystics,Chicago Sky,betrivers,,,-16.5,-130,16.5,-114,,,
2026-06-03,WNBA,6f8192d89fec2aeb42878b8706254d5d,2026-06-03T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:49Z,Golden State Valkyries,Portland Fire,draftkings,-375,295,-9.5,-105,9.5,-115,159.5,-112,-108
2026-06-03,WNBA,6f8192d89fec2aeb42878b8706254d5d,2026-06-03T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:17Z,Golden State Valkyries,Portland Fire,betmgm,-375,300,-9.5,-115,9.5,-105,160.5,-110,-110
2026-06-03,WNBA,6f8192d89fec2aeb42878b8706254d5d,2026-06-03T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:50Z,Golden State Valkyries,Portland Fire,fanduel,-385,290,-9.5,-106,9.5,-114,160.5,-110,-110
2026-06-03,WNBA,6f8192d89fec2aeb42878b8706254d5d,2026-06-03T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:32Z,Golden State Valkyries,Portland Fire,betrivers,-420,300,-9.5,-108,9.5,-115,159.5,-114,-109
2026-06-03,WNBA,185804ff5ba81d1b76a30f51bcaa1d96,2026-06-03T02:10:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:49Z,Los Angeles Sparks,Las Vegas Aces,draftkings,230,-285,7.5,-115,-7.5,-105,175.5,-110,-110
2026-06-03,WNBA,185804ff5ba81d1b76a30f51bcaa1d96,2026-06-03T02:10:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:17Z,Los Angeles Sparks,Las Vegas Aces,betmgm,240,-300,6.5,-105,-6.5,-115,175.5,-115,-105
2026-06-03,WNBA,185804ff5ba81d1b76a30f51bcaa1d96,2026-06-03T02:10:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:50Z,Los Angeles Sparks,Las Vegas Aces,fanduel,210,-265,6.5,-104,-6.5,-118,176.5,-108,-112
2026-06-03,WNBA,185804ff5ba81d1b76a30f51bcaa1d96,2026-06-03T02:10:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:32Z,Los Angeles Sparks,Las Vegas Aces,betrivers,220,-286,7.0,-110,-7.0,-113,175.5,-109,-114
2026-06-03,WNBA,0b6c0ff40218df23896f3e4b4fd0c5fa,2026-06-04T00:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:50Z,New York Liberty,Toronto Tempo,fanduel,-430,320,-9.5,-104,9.5,-118,172.5,-112,-108
2026-06-03,WNBA,0b6c0ff40218df23896f3e4b4fd0c5fa,2026-06-04T00:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:49Z,New York Liberty,Toronto Tempo,draftkings,-395,310,-8.5,-118,8.5,-102,172.5,-112,-108
2026-06-03,WNBA,0b6c0ff40218df23896f3e4b4fd0c5fa,2026-06-04T00:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:32Z,New York Liberty,Toronto Tempo,betrivers,-400,300,-9.5,-113,9.5,-110,172.5,-108,-115
2026-06-03,WNBA,0b6c0ff40218df23896f3e4b4fd0c5fa,2026-06-04T00:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:17Z,New York Liberty,Toronto Tempo,betmgm,-425,325,-8.5,-115,8.5,-105,172.5,-110,-110
2026-06-03,WNBA,8a807081963401594f51f791acf1a8b5,2026-06-04T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:50Z,Seattle Storm,Phoenix Mercury,fanduel,194,-245,6.5,-118,-6.5,-104,161.5,-110,-110
2026-06-03,WNBA,8a807081963401594f51f791acf1a8b5,2026-06-04T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:49Z,Seattle Storm,Phoenix Mercury,draftkings,180,-218,5.5,-102,-5.5,-118,162.5,-108,-112
2026-06-03,WNBA,8a807081963401594f51f791acf1a8b5,2026-06-04T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:32Z,Seattle Storm,Phoenix Mercury,betrivers,200,-265,6.5,-117,-6.5,-107,161.5,-108,-115
2026-06-03,WNBA,8a807081963401594f51f791acf1a8b5,2026-06-04T02:00:00Z,2026-06-03T01:48:07Z,,"Wed, 03 Jun 2026 01:48:08 GMT",2026-06-03T01:47:17Z,Seattle Storm,Phoenix Mercury,betmgm,185,-225,5.5,-102,-5.5,-118,162.5,-105,-115
