date,sport,game_id,commence_time,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2024-01-22,NHL,df95b4da19864ed0a1c40e8d9b6aca0d,2024-01-23T00:00:00Z,Boston Bruins,Winnipeg Jets,betmgm,-135,110,-1.5,180,1.5,-225,5.5,-105,-115
2024-01-22,NHL,df95b4da19864ed0a1c40e8d9b6aca0d,2024-01-23T00:00:00Z,Boston Bruins,Winnipeg Jets,caesars,-130,110,-1.5,192,1.5,-235,5.5,-105,-115
2024-01-22,NHL,66b8ddb5eeb3bc1c6cb981dfd4e21c5a,2024-01-23T00:00:00Z,New Jersey Devils,Vegas Golden Knights,betmgm,-120,100,-1.5,190,1.5,-250,6.0,-115,-105
2024-01-22,NHL,66b8ddb5eeb3bc1c6cb981dfd4e21c5a,2024-01-23T00:00:00Z,New Jersey Devils,Vegas Golden Knights,caesars,-120,100,-1.5,196,1.5,-240,6.0,-115,-105
2024-01-22,NHL,f5bf71c6bbfb306b565544084a13c76d,2024-01-23T01:00:00Z,Nashville Predators,Florida Panthers,betmgm,110,-135,1.5,-225,-1.5,180,6.0,-110,-110
2024-01-22,NHL,f5bf71c6bbfb306b565544084a13c76d,2024-01-23T01:00:00Z,Nashville Predators,Florida Panthers,caesars,115,-135,1.5,-225,-1.5,185,6.0,-110,-110
2024-01-22,NHL,412aaef9e6fe4f8339ce1665425918ae,2024-01-23T02:00:00Z,Arizona Coyotes,Pittsburgh Penguins,betmgm,120,-145,1.5,-200,-1.5,165,6.0,-110,-110
2024-01-22,NHL,412aaef9e6fe4f8339ce1665425918ae,2024-01-23T02:00:00Z,Arizona Coyotes,Pittsburgh Penguins,caesars,130,-155,1.5,-205,-1.5,170,6.0,-110,-110
2024-01-22,NHL,551be0c436c78d62ad994354c392db92,2024-01-23T03:00:00Z,Vancouver Canucks,Chicago Blackhawks,betmgm,-450,350,-2.5,115,2.5,-135,6.0,-120,100
2024-01-22,NHL,551be0c436c78d62ad994354c392db92,2024-01-23T03:00:00Z,Vancouver Canucks,Chicago Blackhawks,caesars,-455,345,-1.5,-170,1.5,143,6.0,-120,100
2024-01-22,NHL,644fea3f1d9fe4f979e4be0cfe95fa67,2024-01-23T03:30:00Z,Los Angeles Kings,San Jose Sharks,betmgm,-375,290,-1.5,-140,1.5,115,6.0,100,-120
2024-01-22,NHL,644fea3f1d9fe4f979e4be0cfe95fa67,2024-01-23T03:30:00Z,Los Angeles Kings,San Jose Sharks,caesars,-385,300,-1.5,-155,1.5,130,6.0,100,-120
2024-01-22,NHL,6cfe621761bf1d5e212f89855d74dda5,2024-01-24T00:00:00Z,Montréal Canadiens,Ottawa Senators,betmgm,120,-145,1.5,-190,-1.5,155,6.5,-140,115
2024-01-22,NHL,8f85895413ff6f8ead9cafea56a15ea2,2024-01-24T00:00:00Z,Philadelphia Flyers,Tampa Bay Lightning,betmgm,-110,-110,-1.5,220,1.5,-275,6.0,-120,100
2024-01-22,NHL,5b9e1391ed06c8ea0d87788c40d2394c,2024-01-24T01:00:00Z,Minnesota Wild,Washington Capitals,betmgm,-160,135,-1.5,150,1.5,-185,6.0,-105,-115
2024-01-22,NHL,7e20f15d213fc9fed52d5fd2c0d554de,2024-01-24T02:00:00Z,Calgary Flames,St Louis Blues,betmgm,-165,140,-1.5,140,1.5,-165,6.0,-110,-110
2024-01-22,NHL,8b546891c1484dd85d92635c5bfea759,2024-01-24T02:00:00Z,Edmonton Oilers,Columbus Blue Jackets,betmgm,-350,280,-1.5,-145,1.5,120,7.0,105,-125
2024-01-22,NHL,8939659b5715df0c783f2bc4de879ee4,2024-01-24T03:00:00Z,Anaheim Ducks,Buffalo Sabres,betmgm,135,-160,1.5,-185,-1.5,150,6.5,-110,-110
