date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2025-10-08,NHL,e145c1e566ef8cc065863832e7e598ae,2025-10-08T02:51:21Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:54:11Z,Los Angeles Kings,Colorado Avalanche,caesars,1800,-6000,3.5,-230,-3.5,180,4.5,-140,110
2025-10-08,NHL,e145c1e566ef8cc065863832e7e598ae,2025-10-08T02:51:21Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:55:04Z,Los Angeles Kings,Colorado Avalanche,betmgm,1600,-10000,3.5,-200,-3.5,145,,,
2025-10-08,NHL,b2af0a6a7130800ba6a208d5ba0fbd91,2025-10-08T23:10:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:54:11Z,Toronto Maple Leafs,Montréal Canadiens,caesars,-165,140,-1.5,158,1.5,-190,6.0,-110,-110
2025-10-08,NHL,b2af0a6a7130800ba6a208d5ba0fbd91,2025-10-08T23:10:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:55:04Z,Toronto Maple Leafs,Montréal Canadiens,betmgm,-165,135,-1.5,140,1.5,-170,,,
2025-10-08,NHL,056e75fd47aeb5419ee5bd1a72e08bcd,2025-10-08T23:40:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:54:11Z,Washington Capitals,Boston Bruins,caesars,-190,158,-1.5,135,1.5,-160,5.5,-110,-110
2025-10-08,NHL,056e75fd47aeb5419ee5bd1a72e08bcd,2025-10-08T23:40:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:55:04Z,Washington Capitals,Boston Bruins,betmgm,-190,155,-1.5,125,1.5,-155,,,
2025-10-08,NHL,d4139f5d4bdbf4ac808ddb8c25293eee,2025-10-09T02:10:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:54:11Z,Edmonton Oilers,Calgary Flames,caesars,-220,180,-1.5,118,1.5,-140,6.0,-115,-105
2025-10-08,NHL,d4139f5d4bdbf4ac808ddb8c25293eee,2025-10-09T02:10:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:55:04Z,Edmonton Oilers,Calgary Flames,betmgm,-220,180,-1.5,110,1.5,-135,,,
2025-10-08,NHL,d41c1327e68649815397cc566432adaf,2025-10-09T02:10:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:54:11Z,Vegas Golden Knights,Los Angeles Kings,caesars,-195,162,-1.5,130,1.5,-155,5.5,-130,110
2025-10-08,NHL,d41c1327e68649815397cc566432adaf,2025-10-09T02:10:00Z,2025-10-08T05:00:00Z,2025-10-08T04:55:38Z,"Sun, 08 Feb 2026 05:17:41 GMT",2025-10-08T04:55:04Z,Vegas Golden Knights,Los Angeles Kings,betmgm,-200,165,-1.5,120,1.5,-145,,,
